Episode:247, reward-468.2, passenger2
Episode:248, reward-145.4, passenger30
Episode:249, reward-168.0, passenger25
Episode:250, reward-41.5, passenger39
Episode:251, reward-208.2, passenger19
Episode:252, reward-245.2, passenger18
Episode:253, reward-137.6, passenger32
Episode:254, reward-196.5, passenger19
Episode:255, reward196.2, passenger58
Episode:256, reward-216.1, passenger21
Episode:257, reward-139.8, passenger28
Episode:258, reward-273.3, passenger16
Episode:259, reward178.8, passenger59
Episode:260, reward-220.1, passenger26
Episode:261, reward-443.2, passenger0
Episode:262, reward-63.8, passenger32
Episode:263, reward-248.4, passenger22
Episode:264, reward-288.9, passenger13
Episode:265, reward-387.1, passenger3
Episode:266, reward-53.7, passenger34
Episode:267, reward-229.9, passenger18
Episode:268, reward-85.8, passenger37
Episode:269, reward-359.0, passenger5
Episode:270, reward-326.1, passenger10
Episode:271, reward-296.4, passenger10
Episode:272, reward-216.2, passenger20
Episode:273, reward-411.7, passenger9
Episode:274, reward153.5, passenger54
Episode:275, reward-188.9, passenger23
Episode:276, reward-121.6, passenger30
Episode:277, reward-242.3, passenger20
Episode:278, reward210.4, passenger56
Episode:279, reward124.4, passenger51
Episode:280, reward-159.8, passenger26
Episode:281, reward-240.5, passenger20
Episode:282, reward-185.4, passenger22
Episode:283, reward-463.0, passenger0
Episode:284, reward-451.0, passenger3
Episode:285, reward474.4, passenger81
Episode:286, reward-469.3, passenger0
Episode:287, reward-362.9, passenger11
Episode:288, reward-385.2, passenger3
Episode:289, reward43.9, passenger47
Episode:290, reward-118.1, passenger29
Episode:291, reward-54.5, passenger35
Episode:292, reward-266.9, passenger17
Episode:293, reward-255.5, passenger14
Episode:294, reward1.0, passenger41
Episode:295, reward-275.9, passenger17
Episode:296, reward-168.5, passenger29
Episode:297, reward-291.9, passenger19
Episode:298, reward-417.9, passenger1
Episode:299, reward-71.7, passenger34
Episode:300, reward-222.6, passenger19
Episode:301, reward174.9, passenger61
Episode:302, reward-163.9, passenger30
Episode:303, reward-424.3, passenger0
Episode:304, reward-144.3, passenger28
Episode:305, reward-316.0, passenger12
Episode:306, reward38.1, passenger43
Episode:307, reward-448.8, passenger7
Episode:308, reward100.6, passenger56
Episode:309, reward-379.1, passenger11
Episode:310, reward-82.9, passenger34
Episode:311, reward132.3, passenger49
Episode:312, reward-268.1, passenger14
Episode:313, reward-169.4, passenger29
Episode:314, reward-193.4, passenger23
Episode:315, reward-215.5, passenger18
Episode:316, reward-420.7, passenger0
Episode:317, reward-117.3, passenger28
Episode:318, reward-453.1, passenger0
Episode:319, reward110.0, passenger51
Episode:320, reward-321.4, passenger12
Episode:321, reward-250.1, passenger14
Episode:322, reward235.2, passenger61
Episode:323, reward-433.3, passenger0
Episode:324, reward129.5, passenger57
Episode:325, reward-184.2, passenger25
Episode:326, reward-290.2, passenger18
Episode:327, reward-139.7, passenger29
Episode:328, reward-134.5, passenger27
Episode:329, reward-297.1, passenger12
Episode:330, reward-335.3, passenger8
Episode:331, reward-392.4, passenger4
Episode:332, reward-213.3, passenger22
Episode:333, reward-34.3, passenger39
Episode:334, reward-24.5, passenger38
Episode:335, reward-126.3, passenger28
Episode:336, reward-346.2, passenger7
Episode:337, reward35.2, passenger41
Episode:338, reward-69.2, passenger32
Episode:339, reward-448.6, passenger0
Episode:340, reward-54.8, passenger41
Episode:341, reward-139.5, passenger31
Episode:342, reward-233.2, passenger21
Episode:343, reward10.8, passenger40
Episode:344, reward-207.4, passenger18
Episode:345, reward-499.0, passenger0
Episode:346, reward-51.2, passenger36
Episode:347, reward-232.9, passenger24
Episode:348, reward-140.7, passenger28
Episode:349, reward-253.1, passenger20
Episode:350, reward149.0, passenger54
Episode:351, reward-35.7, passenger34
Episode:352, reward49.9, passenger44
Episode:353, reward678.7, passenger104
Episode:354, reward-327.4, passenger15
Episode:355, reward69.8, passenger45
Episode:356, reward-335.5, passenger6
Episode:357, reward-62.1, passenger31
Episode:358, reward163.6, passenger56
Episode:359, reward-159.0, passenger25
Episode:360, reward38.1, passenger43
Episode:361, reward-426.1, passenger0
Episode:362, reward-341.2, passenger12
Episode:363, reward-315.3, passenger10
Episode:364, reward-443.2, passenger0
Episode:365, reward3.5, passenger48
Episode:366, reward-276.2, passenger23
Episode:367, reward-102.4, passenger33
Episode:368, reward-100.1, passenger29
